selection1_name,selection1_id
Portimonense SC,10031
Switzerland,1364
Yokohama F. Marinos,101151
CD Tenerife,260
Wycombe Wanderers,1933
Junior FC,101101
Shanghai SIPG FC,112540
CD Tondela,112516
PAOK,393
SpVgg Greuther Fürth,165
Wisła Kraków,1873
AFC Wimbledon,112259
Adelaide United,111393
Beijing Sinobo Guoan FC,111768
Poland,1353
Shanghai Greenland Shenhua FC,110955
Wellington Phoenix,111766
Club Atlético Talleres,112670
ESTAC Troyes,294
FC Nordsjælland,1788
Gamba Osaka,112093
MSV Duisburg,1825
Scunthorpe United,1949
En Avant de Guingamp,62
Heracles Almelo,100634
Millonarios FC,101105
US Salernitana 1919,110373
Willem II,1907
1. FC Heidenheim 1846,111235
Atlético Mineiro,1035
Hungary,1886
Lokomotiv Moscow,100765
Port Vale,1928
Rotherham United,1797
Shrewsbury,127
AC Ajaccio,614
Alanyaspor,113142
Burton Albion,15015
Elche CF,468
Oldham Athletic,1920
Sweden,1363
Wales,1367
Walsall,1803
SSV Jahn Regensburg,543
FC Paços de Ferreira,1892
FC Würzburger Kickers,110197
Kashima Antlers,101147
Livorno,1844
Panathinaikos FC,1884
Perugia,199
Rochdale,1955
SC Preußen Münster,531
Sparta Rotterdam,100646
1. FC Magdeburg,110588
Accrington Stanley,110313
Antalyaspor,741
Newport County,112254
Querétaro,110150
Al Hilal,605
Chicago Fire,693
Clermont Foot 63,1815
Cracovia,110747
Defensa y Justicia,111710
FC Midtjylland,1516
Milton Keynes Dons,1798
Philadelphia Union,112134
Pohang Steelers,1474
SV Zulte-Waregem,15005
VfL Osnabrück,487
Viktoria Köln,110645
Aberdeen,77
Club Atlético Colón,110406
Rio Ave FC,744
Santa Clara,1438
Albacete BP,1854
Chile,111459
Dalian YiFang FC,112378
Malmö FF,320
Royal Excel Mouscron,111560
SV Meppen,110597
SV Wehen Wiesbaden,492
Sivasspor,101041
Southend United,1954
Cheltenham Town,1936
Górnik Zabrze,420
AEK Athens,278
CD Numancia,477
Extremadura UD,469
Fortuna Sittard,634
Pescara,200
RKC Waalwijk,1905
Venezia FC,205
Al Ahli,112387
Bristol Rovers,1962
Crotone,110734
FC Emmen,100628
FC Juárez,113134
Grimsby Town,92
SK Sturm Graz,209
Crawley Town,110890
FC Chambly Oise,112627
Korona Kielce,111083
Sint-Truidense VV,680
Al Nassr,112139
Club Atlas,101114
Gillingham,1802
Motherwell,83
Os Belenenses,1889
Republic of Ireland,1355
SV Waldhof Mannheim,110532
Vitória de Setúbal,665
Wolfsberger AC,111822
AS Nancy Lorraine,1823
Carlisle United,1480
Clube Sport Marítimo,1893
FC Sion,110770
Göztepe SK,101026
Holstein Kiel,576
KV Mechelen,110724
Molde FK,417
Tranmere Rovers,15048
AD Alcorcón,100831
América de Cali,101099
Cameroon,1395
Hamilton Academical FC,184
Kawasaki Frontale,111730
Puebla FC,110152
Rosenborg BK,298
US Orléans Loiret Football,112276
Valenciennes FC,110456
Brøndby IF,269
CD Aves,666
CF Fuenlabrada,110065
FC Barcelona B,110704
Fluminense,567
Hibernian,81
Internacional,1048
Jagiellonia Białystok,110745
Kilmarnock,82
Le Mans FC,1739
Real Salt Lake,111065
SV Darmstadt 98,110502
Spezia,110741
Tiburones Rojos de Veracruz,110145
CFR Cluj,110816
Côte d'Ivoire,111112
New England Revolution,691
Paraguay,1375
Rosario Central,110580
San Jose Earthquakes,111928
AIK,433
China PR,1413
Colorado Rapids,694
FC Tokyo,101150
FK Austria Wien,256
Grenoble Foot 38,1805
Karlsruher SC,1832
Melbourne Victory,111397
Rodez Aveyron Football,111659
Cerezo Osaka,101148
Chemnitzer FC,507
Cosenza,112168
FC Zürich,894
Gençlerbirliği SK,101025
La Berrichonne de Châteauroux,212
Newell's Old Boys,110396
Peru,111108
Russia,1357
Hokkaido Consadole Sapporo,112444
SG Sonnenhof Großaspach,111379
Trapani,112410
Romania,1356
Shamrock Rovers,306
SpVgg Unterhaching,172
Boavista FC,1898
Chamois Niortais Football Club,1813
Denizlispor,1457
Esbjerg fB,1445
FC Carl Zeiss Jena,110591
Hallescher FC,110482
Melbourne City FC,112224
Minnesota United FC,111138
Piast Gliwice,111086
Pisa,110738
Pordenone,113958
Raków Częstochowa,114326
UCD AFC,111132
Śląsk Wrocław,111092
Atiker Konyaspor,101033
Botafogo,517
CD Lugo,110831
Cruzeiro,568
Czech Republic,1330
Dundalk,837
FSV Zwickau,110592
Gil Vicente FC,1888
KV Oostende,682
Nagoya Grampus,112092
PEC Zwolle,1914
VVV-Venlo,100651
Virtus Entella,113147
Waasland-Beveren,110913
Wuhan Zall,112541
LKS Lodz,111085
Al Ain FC,111701
KSV Cercle Brugge,1750
Kaizer Chiefs,110929
Argentinos Juniors,111019
Bohemian FC,305
Castellammare di Stabia,112124
Club Necaxa,101121
Dinamo Bucureşti,100757
Palermo,1843
SK Brann,919
Slovenia,1361
Urawa Red Diamonds,111575
Viktoria Plzeň,110468
Club Athletico Paranaense,1039
CD Palestino,111328
FC Viitorul,113180
Jiangsu Suning FC,112162
Kasimpaşa SK,111339
Northern Ireland,110081
Pogoń Szczecin,110746
Universitatea Craiova,308
Aalborg BK,820
Ascoli,1847
SV Sandhausen,110178
US Cremonese,111434
Unión La Calera,112535
Hammarby IF,708
Livingston FC,621
Aarhus GF,271
Club Atlético Huracán,111711
Gazişehir Gaziantep F.K.,110776
IFK Göteborg,319
Iceland,1341
Newcastle Jets,111398
SD Ponferradina,2023
Cittadella,111993
Deportes Tolima,111722
Deportivo Cali,101102
Djurgårdens IF,710
Egypt,111130
FC Erzgebirge Aue,506
Finland,1334
Greece,1338
IFK Norrköping,702
KAS Eupen,2013
KV Kortrijk,100081
Perth Glory,111399
Ross County FC,631
Sydney FC,111400
Jeonbuk Hyundai Motors,1477
Moreirense FC,1900
Ulsan Hyundai FC,1473
Waterford FC,753
Western Sydney Wanderers,112427
Central Coast Mariners,111396
Cork City,422
FC Lugano,10032
Gimnasia y Esgrima La Plata,101084
Guangzhou R&F FC,112429
New Zealand,111473
Randers FC,1786
Sagan Tosu,113160
Sanfrecce Hiroshima,113157
Shandong Luneng TaiShan FC,111724
Suwon Samsung Bluewings,983
Wisła Płock,1569
Al Ittihad,607
Arsenal de Sarandí,110394
FC Voluntari,113182
Independiente Santa Fe,101104
India,111466
